time,bid,ask,last,volume,time_msc,flags,volume_real
2024-11-29 19:37:04,23.6,23.63,23.63,100,1732909024284,1336,100.0
2024-11-29 18:06:00,23.62,23.75,23.61,5300,1732903560037,1368,5300.0
2024-11-29 18:06:00,23.62,23.75,23.61,6600,1732903560037,1368,6600.0
2024-11-29 17:54:40,23.63,23.66,23.63,100,1732902880848,1368,100.0
2024-11-29 17:54:40,23.64,23.68,23.64,300,1732902880322,1368,300.0
2024-11-29 17:54:39,23.65,23.7,23.65,100,1732902879296,1368,100.0
2024-11-29 17:54:35,23.65,23.7,23.65,100,1732902875825,1368,100.0
2024-11-29 17:54:33,23.66,23.7,23.66,100,1732902873835,1368,100.0
2024-11-29 17:54:29,23.67,23.7,23.66,100,1732902869430,1368,100.0
2024-11-29 17:54:24,23.67,23.7,23.67,100,1732902864975,1368,100.0
2024-11-29 17:54:21,23.65,23.68,23.68,200,1732902861663,1336,200.0
2024-11-29 17:54:16,23.65,23.68,23.68,100,1732902856980,1336,100.0
2024-11-29 17:54:16,23.66,23.69,23.66,100,1732902856355,1368,100.0
2024-11-29 17:54:13,23.66,23.69,23.66,100,1732902853949,1368,100.0
2024-11-29 17:54:12,23.66,23.69,23.68,200,1732902852997,1400,200.0
2024-11-29 17:54:12,23.66,23.69,23.66,100,1732902852997,1368,100.0
2024-11-29 17:54:11,23.67,23.69,23.67,100,1732902851987,1368,100.0
2024-11-29 17:54:06,23.66,23.69,23.66,100,1732902846075,1368,100.0
2024-11-29 17:53:57,23.66,23.69,23.66,100,1732902837237,1368,100.0
2024-11-29 17:53:57,23.66,23.69,23.68,100,1732902837237,1400,100.0
2024-11-29 17:53:48,23.66,23.69,23.66,100,1732902828412,1368,100.0
2024-11-29 17:53:48,23.66,23.69,23.68,100,1732902828413,1400,100.0
2024-11-29 17:53:39,23.66,23.69,23.68,100,1732902819587,1400,100.0
2024-11-29 17:53:39,23.66,23.69,23.66,100,1732902819587,1368,100.0
2024-11-29 17:53:30,23.66,23.69,23.66,100,1732902810754,1368,100.0
2024-11-29 17:53:30,23.66,23.69,23.66,100,1732902810771,1368,100.0
2024-11-29 17:53:30,23.66,23.69,23.68,100,1732902810756,1400,100.0
2024-11-29 17:53:30,23.66,23.69,23.66,100,1732902810773,1368,100.0
2024-11-29 17:53:30,23.66,23.69,23.68,100,1732902810774,1400,100.0
2024-11-29 17:53:21,23.66,23.69,23.68,100,1732902801931,1400,100.0
2024-11-29 17:53:21,23.66,23.69,23.66,100,1732902801930,1368,100.0
2024-11-29 17:53:15,23.67,23.7,23.67,100,1732902795580,1368,100.0
